bridge_kit_fee_dev_collected,bridge_kit_fee_circle_collected,dev_address,transaction_hash,amount_bridged,blockchain
,,0x5f09f4633e3746637d725ba767d8cdacd36ad8cf,0xea07e9c644e3cbd02f54b6aa15bce6767f5ad6aca7f700aacf124ff555e6bd5b,7.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xbee6427e215903c3142840d4dd0d9ea2178b0399fe8f3593ca2fb32a2a69c2e8,3.000000,arbitrum_sepolia
,,0xfd49ed203885f0f8a60d4fe6db99efc9e790d7f6,0xeefc6d3497a23153064aac6f5f123300fb6bfca4a4039f6a8971966303405abb,4.000000,arbitrum_sepolia
,,0x5b5d286c3f1c6035d76e788ba923f0fdaee679fe,0xb096a104b8fc1cf612d979911c4e9ffa1e3304317a555d95ab4dbcc61ad1358f,1.000000,arbitrum_sepolia
0.009,0.0010000000000000009,0x18127c64251e2a841cc7c4998218e607f9cd1dac,0xc7d63c84aede9794f2b9a4b56de01ec29e72776b514cc9ed2b4a6a16b71ef325,4.990000,arbitrum_sepolia
,,0xf3ac5c4fc2c9272234ea5600126972385fce5a20,0xe5b25393aff3435c014a5159559bda004f4d3864282ff7504850d8bb22ece2c2,10.000000,arbitrum_sepolia
,,0x0cd269016873f3d1f1dd1b69819982f2dd83e4b8,0xcb2a28ed1540d5b8dbc1780e3abfd5e221c237c4b8d87b9d124e991b4ca8a994,0.126200,arbitrum_sepolia
,,0x0cd269016873f3d1f1dd1b69819982f2dd83e4b8,0xd58cf22603f49f6a08f9996443554906a44e00b3d2efeed1458f5588defa5c15,0.126200,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x7bc1a50ef0d6379cfeeba4ad223867b2369eb316b5ddb96162ce9d7845b15f26,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x547714ba9d19db439463fdfbfd96ac570a06871fd077083769a34c2a149d13f7,3.000000,arbitrum_sepolia
0.009,0.0010000000000000009,0xc5393ea2bc02e681d09718d9da02bf3b89a6afc3,0x02d2ff7eda82d67acdedbca19a5a6effb40e07a44b651dae516cb3d757c8e7ee,0.990000,arbitrum_sepolia
,,0xe55a94fd5885b0862cef0110ff384f7d207d7251,0xd8c5a8fb63bcd51de86fa47048872d53138ea7fd657e4b25d8436a84406e2935,1.000000,arbitrum_sepolia
,,0x40916be240fb2243458be3c7ae43711b90c795fd,0x5bd2de39b9619596e6855a22983315b929f4b31e461ea36b64de4ca811907c63,20.000000,arbitrum_sepolia
